_id,Product ID,Location ID,Quantity Available
64ea5e0afe4f979a95e9dd41,P0001,L1,60
64ea5e0afe4f979a95e9dd42,P0001,L2,9
64ea5e0afe4f979a95e9dd43,P0001,L3,2
64ea5e0afe4f979a95e9dd44,P0001,L4,74
64ea5e0afe4f979a95e9dd45,P0001,L5,8
64ea5e0afe4f979a95e9dd46,P0001,L6,74
64ea5e0afe4f979a95e9dd47,P0001,L7,34
64ea5e0afe4f979a95e9dd48,P0001,L8,84
64ea5e0afe4f979a95e9dd49,P0001,L9,48
64ea5e0afe4f979a95e9dd4a,P0001,L10,38
64ea5e0afe4f979a95e9dd4b,P0002,L1,84
64ea5e0afe4f979a95e9dd4c,P0002,L2,15
64ea5e0afe4f979a95e9dd4d,P0002,L3,53
64ea5e0afe4f979a95e9dd4e,P0002,L4,31
64ea5e0afe4f979a95e9dd4f,P0002,L5,85
64ea5e0afe4f979a95e9dd50,P0002,L6,69
64ea5e0afe4f979a95e9dd51,P0002,L7,15
64ea5e0afe4f979a95e9dd52,P0002,L8,2
64ea5e0afe4f979a95e9dd53,P0002,L9,36
64ea5e0afe4f979a95e9dd54,P0002,L10,12
64ea5e0afe4f979a95e9dd55,P0003,L1,81
64ea5e0afe4f979a95e9dd56,P0003,L2,100
64ea5e0afe4f979a95e9dd57,P0003,L3,29
64ea5e0afe4f979a95e9dd58,P0003,L4,98
64ea5e0afe4f979a95e9dd59,P0003,L5,13
64ea5e0afe4f979a95e9dd5a,P0003,L6,100
64ea5e0afe4f979a95e9dd5b,P0003,L7,18
64ea5e0afe4f979a95e9dd5c,P0003,L8,14
64ea5e0afe4f979a95e9dd5d,P0003,L9,86
64ea5e0afe4f979a95e9dd5e,P0003,L10,87
64ea5e0afe4f979a95e9dd5f,P0004,L1,95
64ea5e0afe4f979a95e9dd60,P0004,L2,93
64ea5e0afe4f979a95e9dd61,P0004,L3,67
64ea5e0afe4f979a95e9dd62,P0004,L4,50
64ea5e0afe4f979a95e9dd63,P0004,L5,58
64ea5e0afe4f979a95e9dd64,P0004,L6,56
64ea5e0afe4f979a95e9dd65,P0004,L7,75
64ea5e0afe4f979a95e9dd66,P0004,L8,6
64ea5e0afe4f979a95e9dd67,P0004,L9,99
64ea5e0afe4f979a95e9dd68,P0004,L10,25
64ea5e0afe4f979a95e9dd69,P0005,L1,33
64ea5e0afe4f979a95e9dd6a,P0005,L2,98
64ea5e0afe4f979a95e9dd6b,P0005,L3,92
64ea5e0afe4f979a95e9dd6c,P0005,L4,44
64ea5e0afe4f979a95e9dd6d,P0005,L5,88
64ea5e0afe4f979a95e9dd6e,P0005,L6,92
64ea5e0afe4f979a95e9dd6f,P0005,L7,39
64ea5e0afe4f979a95e9dd70,P0005,L8,8
64ea5e0afe4f979a95e9dd71,P0005,L9,43
64ea5e0afe4f979a95e9dd72,P0005,L10,6
64ea5e0afe4f979a95e9dd73,P0006,L1,43
64ea5e0afe4f979a95e9dd74,P0006,L2,7
64ea5e0afe4f979a95e9dd75,P0006,L3,68
64ea5e0afe4f979a95e9dd76,P0006,L4,1
64ea5e0afe4f979a95e9dd77,P0006,L5,18
64ea5e0afe4f979a95e9dd78,P0006,L6,5
64ea5e0afe4f979a95e9dd79,P0006,L7,72
64ea5e0afe4f979a95e9dd7a,P0006,L8,5
64ea5e0afe4f979a95e9dd7b,P0006,L9,86
64ea5e0afe4f979a95e9dd7c,P0006,L10,8
64ea5e0afe4f979a95e9dd7d,P0007,L1,43
64ea5e0afe4f979a95e9dd7e,P0007,L2,45
64ea5e0afe4f979a95e9dd7f,P0007,L3,87
64ea5e0afe4f979a95e9dd80,P0007,L4,82
64ea5e0afe4f979a95e9dd81,P0007,L5,46
64ea5e0afe4f979a95e9dd82,P0007,L6,81
